Designator,Mid X,Mid Y,Rotation,Layer
C1,168.1625,-56.35,180,top
C2,168.1625,-69.3,180,top
C3,168.1625,-82.35,180,top
C4,168.1625,-108.3,180,top
C32,168.175,-95.3,180,top
C5,119.78,-91.6,180,top
C6,142.1,-101.75,270,top
C9,133.9,-101.75,270,top
C11,143.65,-85.3,45,top
C12,129.6,-85.3,135,top
C16,108.215,-56.295,90,top
C17,107.365,-80.095,90,top
C18,107.115,-63.795,90,top
C19,107.365,-76.395,270,top
C24,138.25,-77.55,270,top
C25,142.55,-77.55,270,top
C29,141.05,-59.55,270,top
C34,123.54,-112.67,0,top
C35,123.54,-110.67,0,top
C39,103.84,-111.97,0,top
C42,104.69,-94.495,180,top
C7,125.75,-85.9,90,top
C8,125.75,-95.75,270,top
C10,140,-101.75,90,top
C13,131.9,-101.75,270,top
C41,104.69,-94.495,0,bottom
C20,170.9,-116.6302,90,bottom
C21,160.1,-116.8,90,top
C22,157,-117.7,0,top
C23,136.05,-77.55,270,top
C28,143.25,-59.55,270,bottom
C33,123.54,-114.67,0,top
C38,103.84,-108.97,180,bottom
C26,140.35,-77.55,270,top
C30,143.25,-59.55,270,top
C36,123.54,-108.67,0,top
C40,103.84,-108.97,0,top
C27,136.01,-61.48,180,top
C37,106.84,-115.97,270,top
D2,105.115,-56.295,90,top
D3,105.265,-83.895,270,top
D4,105.115,-67.595,270,top
D5,105.265,-72.595,90,top
D6,185.82,-115.47,90,top
D8,180.3625,-108.6,0,top
D14,154.7,-114.925,90,top
D15,103.49,-88.17,90,top
R1,159.4,-54.1,45,top
R2,159.6,-66.1,45,top
R3,159.7,-78.8,45,top
R4,159.9,-104.8,45,top
R24,107.97,-53.19,0,top
R25,117.42,-53.19,0,top
R26,134.27,-53.36,180,top
R27,124.912499,-53.81,180,top
R5,139.9,-126.7,90,top
R6,132.92,-126.457501,90,top
R7,184.1625,-108.575,180,top
R29,157,-114.95,90,top
R10,139.35,-120.3,0,top
R11,132.1,-120.8,270,top
R13,108.365,-83.995,90,top
R14,107.115,-60.095,270,top
R19,108.365,-72.495,270,top
R20,108.215,-67.595,270,top
R12,102.45,-125.7,90,top
R15,105.115,-60.095,90,top
R16,105.265,-80.095,270,top
R18,133.9625,-83.9,180,top
R22,105.115,-63.795,270,top
R23,105.265,-76.3575,90,top
R17,151.2,-65.7,90,top
R34,105.84,-101.97,180,top
R21,150.95,-56.46,0,top
R35,111.4,-98.5,270,top
R36,103.49,-91.67,180,top
R37,107.9,-94.7,270,top
R38,110.89,-93.82,180,top
SW10,117.1,-86.75,90,top
U13,159.7,-122.4,0,top
U14,142.25,-68.95,0,top
U17,114.84,-108.97,90,top
U15,146.25,-59.25,90,top
U18,105.84,-105.47,0,top
U19,109.14,-90.12,90,top
Y1,125.75,-90.85,90,top
